172320589614810,15,66,11,30,62,25,66,12,17
181460141438660,19,44,27,52,49,60,37,6,18
193642545192226,10,34,32,48,52,66,69,21,19
350309921720000,14,32,12,69,47,30,38,66,34
368877277461372,23,60,24,66,30,26,58,55,36
41080872531514,12,58,32,52,48,23,63,6,4
54936796776909,16,69,33,49,64,22,24,34,5
646958357739819,14,27,2,2,64,45,63,35,64
648110035224756,6,36,50,50,59,60,10,44,64
69341412530485,18,37,58,3,30,63,52,65,6
699051946034631,16,39,12,41,34,38,58,49,69
121192734512026,17,10,2,44,4,41,66,5,12
307613392099958,27,38,50,65,68,6,4,48,30
365715839080406,21,38,46,27,36,34,8,33,36
470905517474365,13,13,46,5,48,27,12,68,46
50672481934771,102,19,60,27,69,31,52,3,5
549390378013264,13,64,34,2,64,54,38,55,54
619160661365652,32,36,22,61,69,20,25,52,61
639001109028035,14,11,55,5,44,13,55,50,63
696509849642028,30,60,46,4,59,52,40,31,69
697440346685346,15,66,4,49,31,45,17,38,69
171976722380410,12,58,8,64,18,46,32,10,17
188256570460058,20,2,19,25,60,25,22,55,18
220360855078457,15,17,5,3,52,30,54,69,21
267087385916057,17,65,51,8,25,38,11,45,26
274213743143797,21,37,66,3,30,40,22,24,27
360455493526611,13,51,4,52,27,60,25,67,35
365657765112333,22,45,36,39,37,33,50,32,36
373522641905041,17,25,39,10,40,12,11,17,37
41140013235417,26,9,18,39,25,64,21,7,4
484482385421590,24,22,16,66,68,10,45,21,48
586068171698761,22,25,46,13,7,36,58,30,58
594298869424831,15,55,25,22,47,19,64,17,59
64900527728549,20,5,68,26,11,54,61,33,6
138642527949945,13,33,11,53,24,67,12,59,13
173333325165994,15,10,20,8,47,54,13,20,17
23856423663558,15,30,5,9,48,30,17,27,2
243201367368724,1024,4,2,62,30,58,50,17,24
256150845044354,15,2,48,60,69,23,47,38,25
266159431819459,20,19,62,37,25,68,35,38,26
323638086937707,18,27,34,67,3,68,5,19,32
342080407834235,15,35,51,40,11,19,33,7,34
382721860431959,18,23,32,37,45,35,13,11,38
393596889169671,18,63,65,34,6,65,17,17,39
484139401575772,19,4,67,10,16,64,11,19,48
536486755614788,16,20,30,55,47,67,65,34,53
647629037912298,47,66,21,35,35,18,50,40,64
683959464706215,15,39,16,64,62,33,34,13,68
686296210604798,21,38,67,48,18,10,18,30,68
100958861117796,20,60,13,38,50,24,49,4,10
223831709158602,10,66,9,8,20,16,48,22,22
273785903248111,16,7,61,23,8,32,17,21,27
277551758801459,15,11,21,41,67,50,19,48,27
51420061906042,13,58,16,39,5,58,6,9,5
521309021391852,12,60,62,65,51,58,69,69,51
623676757577293,19,37,69,51,65,20,55,12,62
646536224286695,16,47,55,65,66,33,61,32,64
654505035508906,14,34,41,68,32,64,3,18,65
68473358491907,22,11,7,52,25,18,36,59,6
113583415684265,15,17,67,55,40,67,21,23,11
207588200671319,16,23,16,7,67,20,5,50,20
238372273734613,15,61,11,26,41,3,3,55,23
337238402201103,18,39,21,32,60,59,50,44,33
351634949859102,16,6,3,65,9,16,3,4,35
37182281253507,18,27,61,5,46,33,64,50,3
388505228227813,20,37,16,65,62,31,50,52,38
42422249119292,21,44,18,12,35,41,36,16,4
47374409269783,15,55,4,35,54,67,3,52,4
555011711578574,110,62,10,67,49,69,63,23,55
606914679089602,15,10,55,25,8,25,32,36,60
631429916479927,30,7,6,40,59,18,30,68,62
676577371467438,15,54,55,12,46,19,35,32,67
118591415057010,37,66,46,45,47,11,18,59,11
189735499423549,25,37,11,64,6,50,66,65,18
237036711505379,18,59,21,47,8,58,32,45,23
320686215916092,18,60,8,63,22,26,64,69,31
339476738394122,16,26,22,39,22,46,55,60,33
403615114990230,15,30,63,67,10,36,11,17,40
546480935013699,17,27,69,31,67,7,47,34,54
610621792082458,10,34,55,34,5,18,4,63,60
625276620943543,22,55,32,54,17,9,18,24,62
625295064296796,22,60,4,64,38,47,27,24,62
626827738980973,17,13,60,6,52,55,27,35,62
659167698159123,15,51,12,18,19,46,37,51,65
104190561314744,19,32,67,27,9,39,63,27,10
119215894988799,18,63,32,11,8,65,52,63,11
124209900424827,14,27,36,49,34,64,41,27,12
231414296077920,17,48,6,18,4,3,7,5,23
259328931353545,24,49,19,17,27,59,33,61,25
269204846268319,25,7,59,44,66,62,25,60,26
32753935284164,7,44,19,17,69,58,7,19,3
361758103371855,22,63,26,67,46,3,51,4,36
532926729474966,13,54,68,25,67,3,26,9,53
620139302907525,23,45,67,30,6,5,27,59,61
685782344613555,17,27,59,16,61,40,40,26,68
105299900686290,9,66,18,34,45,62,60,35,10
109840692259869,22,69,51,54,36,45,31,68,10
177581645664197,16,5,16,45,30,26,49,50,17
198698302631930,20,50,17,12,68,59,18,58,19
279027014353365,12,21,40,26,36,10,62,58,27
377602182636861,8,21,13,46,63,39,31,46,37
456141175524198,18,54,62,7,30,65,13,34,45
520942292683290,16,18,17,21,30,20,24,67,51
592662652278656,15,32,60,58,40,46,10,6,59
59888528717864,16,32,9,54,16,33,63,69,5
