66,11,30,62,25,66,12,17,0
44,27,52,49,60,37,6,18,0
34,32,48,52,66,69,21,19,0
32,12,69,47,30,38,66,34,0
60,24,66,30,26,58,55,36,0
58,32,52,48,23,63,6,4,0
69,33,49,64,22,24,34,5,0
27,2,2,64,45,63,35,64,0
36,50,50,59,60,10,44,64,0
37,58,3,30,63,52,65,6,0
39,12,41,34,38,58,49,69,0
10,2,44,4,41,66,5,12,0
38,50,65,68,6,4,48,30,0
38,46,27,36,34,8,33,36,0
13,46,5,48,27,12,68,46,0
19,60,27,69,31,52,3,5,0
64,34,2,64,54,38,55,54,0
36,22,61,69,20,25,52,61,0
11,55,5,44,13,55,50,63,0
60,46,4,59,52,40,31,69,0
66,4,49,31,45,17,38,69,0
58,8,64,18,46,32,10,17,0
2,19,25,60,25,22,55,18,0
17,5,3,52,30,54,69,21,0
65,51,8,25,38,11,45,26,0
37,66,3,30,40,22,24,27,0
51,4,52,27,60,25,67,35,0
45,36,39,37,33,50,32,36,0
25,39,10,40,12,11,17,37,0
9,18,39,25,64,21,7,4,0
22,16,66,68,10,45,21,48,0
25,46,13,7,36,58,30,58,0
55,25,22,47,19,64,17,59,0
5,68,26,11,54,61,33,6,0
33,11,53,24,67,12,59,13,0
10,20,8,47,54,13,20,17,0
30,5,9,48,30,17,27,2,0
4,2,62,30,58,50,17,24,0
2,48,60,69,23,47,38,25,0
19,62,37,25,68,35,38,26,0
27,34,67,3,68,5,19,32,0
35,51,40,11,19,33,7,34,0
23,32,37,45,35,13,11,38,0
63,65,34,6,65,17,17,39,0
4,67,10,16,64,11,19,48,0
20,30,55,47,67,65,34,53,0
66,21,35,35,18,50,40,64,0
39,16,64,62,33,34,13,68,0
38,67,48,18,10,18,30,68,0
60,13,38,50,24,49,4,10,0
66,9,8,20,16,48,22,22,0
7,61,23,8,32,17,21,27,0
11,21,41,67,50,19,48,27,0
58,16,39,5,58,6,9,5,0
60,62,65,51,58,69,69,51,0
37,69,51,65,20,55,12,62,0
47,55,65,66,33,61,32,64,0
34,41,68,32,64,3,18,65,0
11,7,52,25,18,36,59,6,0
17,67,55,40,67,21,23,11,0
23,16,7,67,20,5,50,20,0
61,11,26,41,3,3,55,23,0
39,21,32,60,59,50,44,33,0
6,3,65,9,16,3,4,35,0
27,61,5,46,33,64,50,3,0
37,16,65,62,31,50,52,38,0
44,18,12,35,41,36,16,4,0
55,4,35,54,67,3,52,4,0
62,10,67,49,69,63,23,55,0
10,55,25,8,25,32,36,60,0
7,6,40,59,18,30,68,62,0
54,55,12,46,19,35,32,67,0
66,46,45,47,11,18,59,11,0
37,11,64,6,50,66,65,18,0
59,21,47,8,58,32,45,23,0
60,8,63,22,26,64,69,31,0
26,22,39,22,46,55,60,33,0
30,63,67,10,36,11,17,40,0
27,69,31,67,7,47,34,54,0
34,55,34,5,18,4,63,60,0
55,32,54,17,9,18,24,62,0
60,4,64,38,47,27,24,62,0
13,60,6,52,55,27,35,62,0
51,12,18,19,46,37,51,65,0
32,67,27,9,39,63,27,10,0
63,32,11,8,65,52,63,11,0
27,36,49,34,64,41,27,12,0
48,6,18,4,3,7,5,23,0
49,19,17,27,59,33,61,25,0
7,59,44,66,62,25,60,26,0
44,19,17,69,58,7,19,3,0
63,26,67,46,3,51,4,36,0
54,68,25,67,3,26,9,53,0
45,67,30,6,5,27,59,61,0
27,59,16,61,40,40,26,68,0
66,18,34,45,62,60,35,10,0
69,51,54,36,45,31,68,10,0
5,16,45,30,26,49,50,17,0
50,17,12,68,59,18,58,19,0
21,40,26,36,10,62,58,27,0
21,13,46,63,39,31,46,37,0
54,62,7,30,65,13,34,45,0
18,17,21,30,20,24,67,51,0
32,60,58,40,46,10,6,59,0
32,9,54,16,33,63,69,5,0
55,16,62,51,25,7,23,60,0
52,60,30,34,68,46,27,62,0
9,26,9,45,38,30,51,67,0
65,38,26,10,64,2,10,17,0
12,30,61,18,48,52,44,17,0
37,13,3,32,11,34,10,18,0
22,35,20,49,12,18,44,18,0
